Date,Open,High,Low,Close,Volume From,Volume To
21-04-2018,271.19,273.26,238,256,3446.53,871943.81
22-04-2018,256,283.2,248,269.04,2959.52,804510.59
23-04-2018,269.04,287.09,268.5,282.22,2215.38,620068.89
24-04-2018,282.22,298,278.35,291.76,4411.88,1280605.41
25-04-2018,291.76,293.2,247.19,256.96,6162.08,1636172.9
26-04-2018,256.96,276.59,248,269.96,4334.11,1147625.68
27-04-2018,269.96,269.96,250.05,250.5,3858.19,1006241.85
28-04-2018,250.5,265,249.04,260.39,2279.72,587782.6
29-04-2018,260.39,265.05,241.27,255.7,3544.87,896011.05
30-04-2018,255.7,259,237,240.03,2422.96,593712.67
01-05-2018,240.03,241.64,228,240,2386.24,558328.99
02-05-2018,240,253.91,237.07,250,2299.88,565328.95
03-05-2018,250,257.12,242,246.35,4424.58,1098780.79
04-05-2018,246.35,249.74,239.41,242.45,1823.13,444076.09
05-05-2018,242.45,249.9,240,242.99,2321.11,570227.57
06-05-2018,242.99,244.57,232,235.62,2991.3,712502.95
07-05-2018,235.62,236.59,221.28,233.57,2985.55,677437.48
08-05-2018,233.57,235,219.84,223.87,1096.8,248538.01
09-05-2018,223.87,233.18,216,226.25,1759.25,394478.42
10-05-2018,226.25,233.47,216,216.5,2285.1,516197.9
11-05-2018,216.5,216.5,195.41,197.16,3277.62,671283.68
12-05-2018,197.16,205.25,188.5,201,2898.3,563956
13-05-2018,201,212.5,201,208.06,1167.33,241663.45
14-05-2018,208.06,217.84,195,213.35,2908.56,606637.67
15-05-2018,213.35,217.98,200.68,203.33,2737.81,577983.06
16-05-2018,203.33,203.67,191.67,198.34,3414.36,675277.46
17-05-2018,198.34,203.17,190.01,190.75,1357.51,269492.16
18-05-2018,190.75,212.01,186.17,204.5,2873.86,549188.24
19-05-2018,204.5,204.5,196.12,197.92,657.38,130922.69
20-05-2018,197.92,205.83,196.17,203.4,1069.48,215722.15
21-05-2018,203.4,204.75,194.17,197.54,1128.64,224627.25
22-05-2018,197.54,198.97,175.26,175.26,3710.95,695910.48
23-05-2018,175.26,179.45,164.97,171.34,4858.52,840095.4
24-05-2018,171.34,177.03,160,170.81,2390.91,397906.42
25-05-2018,170.81,173.91,162.19,164.4,559.84,92805.39
26-05-2018,164.4,169,162.18,164.33,1011.2,166658.55
27-05-2018,164.33,169.56,160.36,166.18,879.22,143660.41
28-05-2018,166.18,168,148.3,148.62,2719.3,428586.9
29-05-2018,148.62,166.92,147,157.83,5173.09,792470.66
30-05-2018,157.83,161.69,151.5,154.1,1949.99,306050.59
31-05-2018,154.1,159.65,153.75,155.29,718.4,112740.43
01-06-2018,155.29,158.46,152.59,157.06,617.67,95783.4
02-06-2018,157.06,167.37,156.45,162.35,1917.46,313670.58
03-06-2018,162.35,177.28,162.35,169.66,1846.99,314986.2
04-06-2018,169.66,170.33,157.15,160.53,1513.82,245854.45
05-06-2018,160.53,169.46,156.34,166.16,1911.98,317069.63
06-06-2018,166.16,167.93,161.31,164.14,2198.82,366269.96
07-06-2018,164.14,171.82,162.2,163.47,2871.21,479782.43
08-06-2018,163.47,165,156.73,158,1134.83,180869.32
09-06-2018,158,160.74,154,154,1283.74,201953.21
10-06-2018,154,154.57,131.01,138.89,3743.75,528128.67
11-06-2018,138.89,139.7,131.8,137.71,1556.73,212536.33
12-06-2018,137.71,137.88,119.5,125.1,6055.66,760360.35
13-06-2018,125.1,126.26,112.71,121.07,4648.4,552482.21
14-06-2018,121.07,134.4,117.34,133,5525.74,715529.62
15-06-2018,133,133.66,121.8,121.8,2820.27,360683.28
16-06-2018,121.8,128.12,120,126.53,671.11,83055.7
17-06-2018,126.53,126.83,122.89,123.29,145.07,18056.77
18-06-2018,123.29,129.99,119.24,126.47,3301.13,417419.25
19-06-2018,126.47,130.32,123.79,125.95,2122.5,270456.13
20-06-2018,125.95,125.95,119.32,122.32,2304.22,281221.92
21-06-2018,122.32,124.5,121.2,123.05,450.48,55520.8
22-06-2018,123.05,123.92,106.16,109.75,8943.66,982840.58
23-06-2018,109.75,119.12,108.66,115,2860.23,331751.61
24-06-2018,115,124.78,107,121.51,8738.29,995799.3
25-06-2018,121.51,129.72,120.51,126.11,2907.21,369319.66
26-06-2018,126.11,130.1,120,120,3923.17,487631.71
27-06-2018,120,130.49,119,128.59,3145.67,397097.93
28-06-2018,128.59,134.4,114.48,117.31,4715.37,594890.27
29-06-2018,117.31,128.07,114.5,126.25,5104.68,613926.37
30-06-2018,126.25,135.23,126.25,130.84,4326,564001.63
01-07-2018,130.84,134,125.47,129.85,1934.02,249889.91
02-07-2018,129.85,143.16,127.6,140.44,4433.41,612294.63
03-07-2018,140.44,144.29,136.27,138,2464.61,344942.61
