Date,Open,High,Low,Close,Volume From,Volume To
05-10-2018,6600.61,6688,6551.77,6642.91,398.29,2637211.75
06-10-2018,6642.91,6647.59,6570,6600.18,276.32,1825159.25
07-10-2018,6600.18,6638.96,6540,6607.94,307.94,2025975.84
08-10-2018,6607.94,6716,6589.84,6674.06,378.85,2521343.94
09-10-2018,6674.06,6679,6610,6654.92,238.71,1587725.55
10-10-2018,6654.92,6656,6500,6630.2,458.87,3018851.91
11-10-2018,6630.2,6632.78,6202.35,6250.28,1927.57,12222069.77
12-10-2018,6250.28,6350,6200,6304.11,515.46,3243873.79
13-10-2018,6304.11,6336.44,6285.92,6329.23,226.25,1430111.32
14-10-2018,6329.23,6420,6311.99,6342.37,428.34,2725994.07
15-10-2018,6342.37,7648.34,6304.48,6742,5447.33,37753202.92
16-10-2018,6742,6742,6730,6730,0,0
